OrderID,OrderDate,Category,Quantity,Discount,BasePrice,Sales
57,2023-01-03 08:00:00,Fashion,3,0.21,1652,3915.2400000000002
58,2023-01-03 09:00:00,Beauty,2,0.23,172,264.88
59,2023-01-03 10:00:00,Beauty,4,0.03,1137,4411.5599999999995
60,2023-01-03 11:00:00,Beauty,2,0.15,1556,2645.2
61,2023-01-03 12:00:00,Beauty,4,0.15,256,870.4
62,2023-01-03 13:00:00,Sports,2,0.11,834,1484.52
63,2023-01-03 14:00:00,Home,5,0.28,231,831.6
64,2023-01-03 15:00:00,Grocery,5,0.25,1461,5478.75
65,2023-01-03 16:00:00,Electronics,5,0.21,1118,4416.1
66,2023-01-03 17:00:00,Beauty,1,0.21,1527,1206.3300000000002
67,2023-01-03 18:00:00,Fashion,4,0.14,1499,5156.5599999999995
68,2023-01-03 19:00:00,Beauty,5,0.28,658,2368.7999999999997
69,2023-01-03 20:00:00,Fashion,1,0.21,206,162.74
70,2023-01-03 21:00:00,Grocery,4,0.22,1743,5438.16
71,2023-01-03 22:00:00,Grocery,2,0.26,364,538.72
72,2023-01-03 23:00:00,Grocery,1,0.08,1328,1221.76
73,2023-01-04 00:00:00,Fashion,3,0.24,1202,2740.56
74,2023-01-04 01:00:00,Beauty,1,0.06,254,238.76
75,2023-01-04 02:00:00,Grocery,1,0.1,1906,1715.4
76,2023-01-04 03:00:00,Sports,4,0.1,1087,3913.2000000000003
77,2023-01-04 04:00:00,Fashion,2,0.29,1096,1556.32
78,2023-01-04 05:00:00,Fashion,3,0.26,346,768.12
79,2023-01-04 06:00:00,Beauty,5,0.21,630,2488.5
80,2023-01-04 07:00:00,Fashion,5,0.22,957,3732.3
81,2023-01-04 08:00:00,Fashion,1,0.17,637,528.7099999999999
82,2023-01-04 09:00:00,Grocery,4,0.28,828,2384.64
83,2023-01-04 10:00:00,Beauty,4,0.15,1277,4341.8
84,2023-01-04 11:00:00,Grocery,5,0.11,253,1125.85
85,2023-01-04 12:00:00,Grocery,3,0.05,1809,5155.65
86,2023-01-04 13:00:00,Beauty,2,0.24,191,290.32
87,2023-01-04 14:00:00,Electronics,3,0.22,1556,3641.04
88,2023-01-04 15:00:00,Grocery,2,0.12,437,769.12
89,2023-01-04 16:00:00,Sports,5,0.01,1603,7934.85
90,2023-01-04 17:00:00,Sports,2,0.25,1816,2724.0
91,2023-01-04 18:00:00,Fashion,4,0.0,1254,5016.0
92,2023-01-04 19:00:00,Sports,1,0.21,549,433.71000000000004
93,2023-01-04 20:00:00,Fashion,1,0.29,909,645.39
94,2023-01-04 21:00:00,Electronics,5,0.13,886,3854.1
95,2023-01-04 22:00:00,Beauty,4,0.07,372,1383.84
96,2023-01-04 23:00:00,Beauty,3,0.21,687,1628.19
97,2023-01-05 00:00:00,Beauty,4,0.25,276,828.0
98,2023-01-05 01:00:00,Sports,1,0.16,1819,1527.96
99,2023-01-05 02:00:00,Electronics,1,0.29,930,660.3
100,2023-01-05 03:00:00,Sports,4,0.02,742,2908.64
101,2023-01-05 04:00:00,Sports,4,0.15,1998,6793.2
102,2023-01-05 05:00:00,Electronics,1,0.22,1172,914.1600000000001
103,2023-01-05 06:00:00,Electronics,3,0.26,666,1478.52
104,2023-01-05 07:00:00,Electronics,5,0.05,765,3633.75
105,2023-01-05 08:00:00,Electronics,5,0.24,1478,5616.4
106,2023-01-05 09:00:00,Beauty,4,0.17,1835,6092.2
107,2023-01-05 10:00:00,Home,5,0.12,1431,6296.4
108,2023-01-05 11:00:00,Home,1,0.04,967,928.3199999999999
109,2023-01-05 12:00:00,Electronics,1,0.26,1753,1297.22
110,2023-01-05 13:00:00,Home,4,0.05,1898,7212.4
111,2023-01-05 14:00:00,Home,4,0.09,1169,4255.16
112,2023-01-05 15:00:00,Electronics,4,0.09,401,1459.64
113,2023-01-05 16:00:00,Home,3,0.26,967,2146.74
114,2023-01-05 17:00:00,Sports,5,0.2,1011,4044.0
115,2023-01-05 18:00:00,Fashion,4,0.24,507,1541.28
116,2023-01-05 19:00:00,Fashion,2,0.08,1312,2414.08
117,2023-01-05 20:00:00,Electronics,2,0.19,921,1492.0200000000002
118,2023-01-05 21:00:00,Beauty,1,0.17,1953,1620.99
119,2023-01-05 22:00:00,Electronics,5,0.25,1252,4695.0
120,2023-01-05 23:00:00,Beauty,4,0.27,660,1927.2
121,2023-01-06 00:00:00,Fashion,2,0.0,1660,3320.0
122,2023-01-06 01:00:00,Electronics,5,0.2,1389,5556.0
123,2023-01-06 02:00:00,Grocery,1,0.02,1241,1216.18
124,2023-01-06 03:00:00,Sports,3,0.16,563,1418.76
125,2023-01-06 04:00:00,Home,5,0.09,243,1105.65
126,2023-01-06 05:00:00,Beauty,5,0.09,541,2461.55
127,2023-01-06 06:00:00,Grocery,3,0.11,1323,3532.41
128,2023-01-06 07:00:00,Home,5,0.19,1280,5184.0
129,2023-01-06 08:00:00,Home,1,0.1,586,527.4
130,2023-01-06 09:00:00,Electronics,1,0.22,959,748.02
131,2023-01-06 10:00:00,Home,3,0.12,1257,3318.48
132,2023-01-06 11:00:00,Sports,4,0.02,247,968.24
133,2023-01-06 12:00:00,Grocery,2,0.24,1459,2217.68
134,2023-01-06 13:00:00,Home,4,0.09,1194,4346.16
135,2023-01-06 14:00:00,Electronics,5,0.13,1356,5898.6
136,2023-01-06 15:00:00,Sports,2,0.21,1457,2302.06
137,2023-01-06 16:00:00,Fashion,3,0.1,910,2457.0
138,2023-01-06 17:00:00,Grocery,3,0.02,765,2249.1
139,2023-01-06 18:00:00,Home,2,0.11,189,336.42
140,2023-01-06 19:00:00,Electronics,1,0.28,1457,1049.04
141,2023-01-06 20:00:00,Fashion,2,0.19,298,482.76000000000005
142,2023-01-06 21:00:00,Fashion,5,0.2,1284,5136.0
143,2023-01-06 22:00:00,Beauty,1,0.19,637,515.97
144,2023-01-06 23:00:00,Sports,3,0.06,1244,3508.08
145,2023-01-07 00:00:00,Home,2,0.13,400,696.0
146,2023-01-07 01:00:00,Electronics,4,0.23,823,2534.84
147,2023-01-07 02:00:00,Beauty,4,0.03,1698,6588.24
148,2023-01-07 03:00:00,Sports,5,0.08,1062,4885.2
149,2023-01-07 04:00:00,Beauty,4,0.08,1559,5737.12
150,2023-01-07 05:00:00,Grocery,2,0.13,167,290.58
151,2023-01-07 06:00:00,Sports,2,0.29,1888,2680.96
152,2023-01-07 07:00:00,Sports,4,0.02,558,2187.36
153,2023-01-07 08:00:00,Home,2,0.16,1637,2750.16
154,2023-01-07 09:00:00,Sports,5,0.05,497,2360.75
155,2023-01-07 10:00:00,Beauty,1,0.29,719,510.48999999999995
156,2023-01-07 11:00:00,Sports,5,0.03,1409,6833.65
157,2023-01-07 12:00:00,Home,5,0.12,1684,7409.6
158,2023-01-07 13:00:00,Home,2,0.22,1263,1970.28
159,2023-01-07 14:00:00,Grocery,1,0.21,829,654.9100000000001
160,2023-01-07 15:00:00,Beauty,2,0.13,655,1139.7
161,2023-01-07 16:00:00,Fashion,3,0.1,880,2376.0
162,2023-01-07 17:00:00,Fashion,2,0.12,1713,3014.88
163,2023-01-07 18:00:00,Sports,2,0.08,1851,3405.84
164,2023-01-07 19:00:00,Grocery,2,0.06,993,1866.84
165,2023-01-07 20:00:00,Electronics,1,0.14,709,609.74
166,2023-01-07 21:00:00,Sports,2,0.08,847,1558.48
167,2023-01-07 22:00:00,Grocery,1,0.09,381,346.71000000000004
168,2023-01-07 23:00:00,Beauty,4,0.2,760,2432.0
169,2023-01-08 00:00:00,Beauty,3,0.29,1023,2178.99
170,2023-01-08 01:00:00,Beauty,1,0.18,1939,1589.98
171,2023-01-08 02:00:00,Beauty,4,0.02,1095,4292.4
172,2023-01-08 03:00:00,Beauty,1,0.02,1701,1666.98
173,2023-01-08 04:00:00,Grocery,1,0.29,845,599.9499999999999
174,2023-01-08 05:00:00,Grocery,3,0.09,1580,4313.400000000001
175,2023-01-08 06:00:00,Home,5,0.03,186,902.1
176,2023-01-08 07:00:00,Fashion,5,0.18,1202,4928.200000000001
177,2023-01-08 08:00:00,Beauty,1,0.19,1328,1075.68
178,2023-01-08 09:00:00,Electronics,2,0.19,890,1441.8000000000002
179,2023-01-08 10:00:00,Grocery,4,0.08,1460,5372.8
180,2023-01-08 11:00:00,Electronics,2,0.0,1377,2754.0
181,2023-01-08 12:00:00,Electronics,2,0.29,403,572.26
182,2023-01-08 13:00:00,Electronics,1,0.08,1503,1382.76
183,2023-01-08 14:00:00,Home,1,0.2,229,183.20000000000002
184,2023-01-08 15:00:00,Grocery,1,0.21,695,549.0500000000001
185,2023-01-08 16:00:00,Electronics,1,0.18,1399,1147.18
186,2023-01-08 17:00:00,Beauty,5,0.09,1822,8290.1
187,2023-01-08 18:00:00,Sports,1,0.08,657,604.44
188,2023-01-08 19:00:00,Electronics,5,0.18,998,4091.8
189,2023-01-08 20:00:00,Home,5,0.26,1306,4832.2
190,2023-01-08 21:00:00,Grocery,1,0.28,1391,1001.52
191,2023-01-08 22:00:00,Home,3,0.03,1931,5619.21
192,2023-01-08 23:00:00,Electronics,4,0.05,1445,5491.0
193,2023-01-09 00:00:00,Grocery,2,0.28,1635,2354.4
194,2023-01-09 01:00:00,Sports,5,0.22,1735,6766.5
195,2023-01-09 02:00:00,Electronics,4,0.26,177,523.92
196,2023-01-09 03:00:00,Home,3,0.06,883,2490.06
197,2023-01-09 04:00:00,Fashion,2,0.18,1462,2397.6800000000003
198,2023-01-09 05:00:00,Beauty,2,0.21,773,1221.3400000000001
199,2023-01-09 06:00:00,Home,5,0.2,1679,6716.0
200,2023-01-09 07:00:00,Grocery,1,0.12,1632,1436.16
201,2023-01-09 08:00:00,Electronics,3,0.0,337,1011.0
202,2023-01-09 09:00:00,Beauty,5,0.17,1257,5216.55
203,2023-01-09 10:00:00,Electronics,3,0.08,1315,3629.4
204,2023-01-09 11:00:00,Grocery,1,0.14,1479,1271.94
205,2023-01-09 12:00:00,Electronics,1,0.29,377,267.66999999999996
206,2023-01-09 13:00:00,Fashion,5,0.12,1141,5020.4
207,2023-01-09 14:00:00,Beauty,1,0.25,623,467.25
208,2023-01-09 15:00:00,Beauty,4,0.06,279,1049.04
209,2023-01-09 16:00:00,Grocery,2,0.2,222,355.20000000000005
210,2023-01-09 17:00:00,Fashion,5,0.29,1369,4859.95
211,2023-01-09 18:00:00,Home,3,0.03,1857,5403.87
212,2023-01-09 19:00:00,Electronics,4,0.0,1496,5984.0
213,2023-01-09 20:00:00,Sports,5,0.13,1174,5106.9
214,2023-01-09 21:00:00,Electronics,1,0.03,1194,1158.18
215,2023-01-09 22:00:00,Electronics,1,0.22,579,451.62
216,2023-01-09 23:00:00,Home,1,0.27,1683,1228.59
217,2023-01-10 00:00:00,Electronics,1,0.13,1142,993.54
218,2023-01-10 01:00:00,Fashion,3,0.08,1897,5235.72
219,2023-01-10 02:00:00,Fashion,4,0.13,183,636.84
220,2023-01-10 03:00:00,Beauty,2,0.22,1278,1993.68
221,2023-01-10 04:00:00,Grocery,3,0.0,664,1992.0
222,2023-01-10 05:00:00,Sports,3,0.18,718,1766.2800000000002
223,2023-01-10 06:00:00,Electronics,2,0.18,456,747.84
224,2023-01-10 07:00:00,Electronics,2,0.19,915,1482.3000000000002
225,2023-01-10 08:00:00,Home,1,0.07,746,693.78
226,2023-01-10 09:00:00,Grocery,3,0.21,542,1284.54
227,2023-01-10 10:00:00,Fashion,5,0.03,1192,5781.2
228,2023-01-10 11:00:00,Sports,2,0.06,622,1169.36
229,2023-01-10 12:00:00,Beauty,2,0.26,242,358.15999999999997
230,2023-01-10 13:00:00,Fashion,4,0.22,291,907.9200000000001
231,2023-01-10 14:00:00,Grocery,5,0.0,1510,7550.0
232,2023-01-10 15:00:00,Beauty,5,0.07,477,2218.0499999999997
233,2023-01-10 16:00:00,Home,2,0.06,680,1278.3999999999999
234,2023-01-10 17:00:00,Home,1,0.08,634,583.28
235,2023-01-10 18:00:00,Electronics,4,0.07,1816,6755.5199999999995
236,2023-01-10 19:00:00,Grocery,5,0.02,1416,6938.4
237,2023-01-10 20:00:00,Sports,2,0.14,1132,1947.04
238,2023-01-10 21:00:00,Beauty,5,0.22,1394,5436.6
239,2023-01-10 22:00:00,Fashion,4,0.18,1510,4952.8
240,2023-01-10 23:00:00,Grocery,4,0.2,192,614.4000000000001
241,2023-01-11 00:00:00,Grocery,3,0.02,628,1846.32
242,2023-01-11 01:00:00,Home,2,0.29,1277,1813.34
243,2023-01-11 02:00:00,Electronics,4,0.25,504,1512.0
244,2023-01-11 03:00:00,Electronics,3,0.24,939,2140.92
245,2023-01-11 04:00:00,Beauty,3,0.25,1272,2862.0
246,2023-01-11 05:00:00,Home,5,0.28,988,3556.7999999999997
247,2023-01-11 06:00:00,Grocery,5,0.16,1390,5838.0
248,2023-01-11 07:00:00,Sports,3,0.06,521,1469.22
249,2023-01-11 08:00:00,Home,5,0.19,1963,7950.150000000001
250,2023-01-11 09:00:00,Beauty,4,0.22,1741,5431.92
251,2023-01-11 10:00:00,Beauty,1,0.22,571,445.38
252,2023-01-11 11:00:00,Home,4,0.16,992,3333.12
253,2023-01-11 12:00:00,Beauty,3,0.02,646,1899.24
254,2023-01-11 13:00:00,Home,3,0.11,730,1949.1000000000001
255,2023-01-11 14:00:00,Fashion,4,0.28,1649,4749.12
256,2023-01-11 15:00:00,Home,5,0.18,1626,6666.6
257,2023-01-11 16:00:00,Home,5,0.16,1137,4775.4
258,2023-01-11 17:00:00,Beauty,3,0.08,877,2420.52
259,2023-01-11 18:00:00,Beauty,2,0.11,1775,3159.5
260,2023-01-11 19:00:00,Electronics,5,0.27,1929,7040.849999999999
261,2023-01-11 20:00:00,Electronics,4,0.2,463,1481.6000000000001
262,2023-01-11 21:00:00,Fashion,5,0.24,218,828.4
263,2023-01-11 22:00:00,Electronics,4,0.14,1361,4681.84
264,2023-01-11 23:00:00,Home,3,0.19,645,1567.3500000000001
265,2023-01-12 00:00:00,Beauty,5,0.07,1292,6007.799999999999
266,2023-01-12 01:00:00,Electronics,4,0.21,621,1962.3600000000001
267,2023-01-12 02:00:00,Electronics,3,0.13,733,1913.1299999999999
268,2023-01-12 03:00:00,Fashion,2,0.13,1780,3097.2
269,2023-01-12 04:00:00,Grocery,4,0.19,1062,3440.88
270,2023-01-12 05:00:00,Fashion,2,0.28,1057,1522.08
271,2023-01-12 06:00:00,Home,2,0.02,1858,3641.68
272,2023-01-12 07:00:00,Beauty,1,0.25,982,736.5
273,2023-01-12 08:00:00,Fashion,5,0.09,1892,8608.6
274,2023-01-12 09:00:00,Electronics,4,0.13,879,3058.92
275,2023-01-12 10:00:00,Beauty,2,0.01,970,1920.6
276,2023-01-12 11:00:00,Beauty,1,0.09,615,559.65
277,2023-01-12 12:00:00,Electronics,3,0.15,1037,2644.35
278,2023-01-12 13:00:00,Fashion,4,0.02,1520,5958.4
279,2023-01-12 14:00:00,Electronics,2,0.15,965,1640.5
280,2023-01-12 15:00:00,Grocery,5,0.28,205,738.0
281,2023-01-12 16:00:00,Beauty,1,0.03,1208,1171.76
282,2023-01-12 17:00:00,Sports,2,0.23,313,482.02000000000004
283,2023-01-12 18:00:00,Sports,5,0.12,1244,5473.6
284,2023-01-12 19:00:00,Home,2,0.2,1255,2008.0
285,2023-01-12 20:00:00,Electronics,4,0.08,949,3492.32
286,2023-01-12 21:00:00,Electronics,4,0.05,296,1124.8
287,2023-01-12 22:00:00,Home,4,0.05,118,448.4
288,2023-01-12 23:00:00,Home,1,0.02,741,726.18
289,2023-01-13 00:00:00,Home,4,0.06,1135,4267.599999999999
290,2023-01-13 01:00:00,Beauty,5,0.2,1204,4816.0
291,2023-01-13 02:00:00,Grocery,2,0.26,429,634.92
292,2023-01-13 03:00:00,Electronics,3,0.24,965,2200.2
293,2023-01-13 04:00:00,Beauty,5,0.21,873,3448.3500000000004
294,2023-01-13 05:00:00,Home,5,0.03,491,2381.35
295,2023-01-13 06:00:00,Electronics,4,0.09,736,2679.04
296,2023-01-13 07:00:00,Beauty,1,0.09,406,369.46000000000004
297,2023-01-13 08:00:00,Grocery,2,0.07,1390,2585.3999999999996
298,2023-01-13 09:00:00,Beauty,1,0.15,1570,1334.5
299,2023-01-13 10:00:00,Grocery,2,0.16,1564,2627.52
300,2023-01-13 11:00:00,Home,2,0.11,994,1769.32
301,2023-01-13 12:00:00,Grocery,1,0.11,751,668.39
302,2023-01-13 13:00:00,Electronics,5,0.25,940,3525.0
303,2023-01-13 14:00:00,Home,2,0.24,1125,1710.0
304,2023-01-13 15:00:00,Electronics,1,0.09,619,563.29
305,2023-01-13 16:00:00,Sports,2,0.27,1885,2752.1
306,2023-01-13 17:00:00,Fashion,3,0.29,1774,3778.62
307,2023-01-13 18:00:00,Grocery,5,0.1,735,3307.5
308,2023-01-13 19:00:00,Fashion,4,0.11,1432,5097.92
309,2023-01-13 20:00:00,Fashion,2,0.15,839,1426.3
310,2023-01-13 21:00:00,Grocery,3,0.28,1645,3553.2
311,2023-01-13 22:00:00,Home,4,0.26,568,1681.28
312,2023-01-13 23:00:00,Sports,4,0.03,311,1206.68
313,2023-01-14 00:00:00,Electronics,2,0.12,1235,2173.6
314,2023-01-14 01:00:00,Beauty,1,0.17,1131,938.7299999999999
315,2023-01-14 02:00:00,Electronics,2,0.15,903,1535.1
316,2023-01-14 03:00:00,Beauty,3,0.06,576,1624.32
317,2023-01-14 04:00:00,Electronics,4,0.26,973,2880.08
318,2023-01-14 05:00:00,Grocery,2,0.2,559,894.4000000000001
319,2023-01-14 06:00:00,Sports,1,0.25,352,264.0
320,2023-01-14 07:00:00,Beauty,2,0.26,1649,2440.52
321,2023-01-14 08:00:00,Home,5,0.22,851,3318.9
322,2023-01-14 09:00:00,Electronics,1,0.13,1561,1358.07
323,2023-01-14 10:00:00,Electronics,3,0.18,1877,4617.42
324,2023-01-14 11:00:00,Beauty,4,0.05,1080,4104.0
325,2023-01-14 12:00:00,Home,2,0.2,953,1524.8000000000002
326,2023-01-14 13:00:00,Home,1,0.05,1784,1694.8
327,2023-01-14 14:00:00,Grocery,5,0.21,335,1323.25
328,2023-01-14 15:00:00,Grocery,1,0.07,1429,1328.9699999999998
329,2023-01-14 16:00:00,Grocery,5,0.04,577,2769.6
330,2023-01-14 17:00:00,Grocery,3,0.05,778,2217.2999999999997
331,2023-01-14 18:00:00,Grocery,4,0.0,1143,4572.0
332,2023-01-14 19:00:00,Grocery,3,0.22,315,737.1
333,2023-01-14 20:00:00,Sports,2,0.22,954,1488.24
334,2023-01-14 21:00:00,Home,1,0.15,234,198.9
335,2023-01-14 22:00:00,Grocery,5,0.05,1004,4769.0
336,2023-01-14 23:00:00,Home,5,0.03,1252,6072.2
337,2023-01-15 00:00:00,Home,1,0.01,509,503.90999999999997
338,2023-01-15 01:00:00,Fashion,1,0.05,1545,1467.75
339,2023-01-15 02:00:00,Sports,2,0.27,1417,2068.82
340,2023-01-15 03:00:00,Grocery,3,0.07,1369,3819.5099999999998
341,2023-01-15 04:00:00,Electronics,5,0.11,1824,8116.8
342,2023-01-15 05:00:00,Beauty,2,0.03,1679,3257.2599999999998
343,2023-01-15 06:00:00,Electronics,3,0.07,185,516.15
344,2023-01-15 07:00:00,Sports,2,0.16,655,1100.3999999999999
345,2023-01-15 08:00:00,Beauty,5,0.18,1965,8056.500000000001
346,2023-01-15 09:00:00,Sports,1,0.07,1498,1393.1399999999999
347,2023-01-15 10:00:00,Home,1,0.02,1569,1537.62
348,2023-01-15 11:00:00,Beauty,3,0.12,477,1259.28
349,2023-01-15 12:00:00,Home,4,0.07,1513,5628.36
350,2023-01-15 13:00:00,Electronics,3,0.07,1780,4966.2
351,2023-01-15 14:00:00,Electronics,4,0.29,1174,3334.16
352,2023-01-15 15:00:00,Beauty,2,0.18,341,559.24
353,2023-01-15 16:00:00,Beauty,2,0.17,1417,2352.22
354,2023-01-15 17:00:00,Grocery,5,0.12,1019,4483.6
355,2023-01-15 18:00:00,Sports,4,0.13,1686,5867.28
356,2023-01-15 19:00:00,Grocery,5,0.16,365,1533.0
357,2023-01-15 20:00:00,Sports,1,0.21,1243,981.97
358,2023-01-15 21:00:00,Grocery,4,0.21,811,2562.76
359,2023-01-15 22:00:00,Home,3,0.05,1371,3907.35
360,2023-01-15 23:00:00,Beauty,1,0.15,169,143.65
361,2023-01-16 00:00:00,Electronics,1,0.12,1976,1738.88
362,2023-01-16 01:00:00,Sports,3,0.26,156,346.32
363,2023-01-16 02:00:00,Sports,1,0.19,1505,1219.0500000000002
364,2023-01-16 03:00:00,Electronics,4,0.16,138,463.68
365,2023-01-16 04:00:00,Grocery,5,0.03,900,4365.0
366,2023-01-16 05:00:00,Sports,1,0.18,1566,1284.1200000000001
367,2023-01-16 06:00:00,Home,4,0.04,1141,4381.44
368,2023-01-16 07:00:00,Beauty,2,0.1,831,1495.8
369,2023-01-16 08:00:00,Electronics,4,0.04,924,3548.16
370,2023-01-16 09:00:00,Beauty,5,0.21,855,3377.25
371,2023-01-16 10:00:00,Sports,4,0.06,451,1695.76
372,2023-01-16 11:00:00,Sports,3,0.12,1939,5118.96
373,2023-01-16 12:00:00,Electronics,5,0.27,1421,5186.65
374,2023-01-16 13:00:00,Home,2,0.06,382,718.16
375,2023-01-16 14:00:00,Fashion,3,0.15,1709,4357.95
376,2023-01-16 15:00:00,Electronics,4,0.13,209,727.32
377,2023-01-16 16:00:00,Fashion,5,0.01,1116,5524.2
378,2023-01-16 17:00:00,Grocery,2,0.24,1303,1980.56
379,2023-01-16 18:00:00,Fashion,3,0.02,643,1890.42
380,2023-01-16 19:00:00,Home,2,0.14,1869,3214.68
381,2023-01-16 20:00:00,Grocery,4,0.17,1917,6364.44
382,2023-01-16 21:00:00,Fashion,2,0.19,124,200.88000000000002
383,2023-01-16 22:00:00,Grocery,1,0.21,942,744.1800000000001
384,2023-01-16 23:00:00,Fashion,3,0.08,890,2456.4
385,2023-01-17 00:00:00,Home,2,0.0,837,1674.0
386,2023-01-17 01:00:00,Fashion,4,0.22,156,486.72
387,2023-01-17 02:00:00,Fashion,4,0.16,279,937.4399999999999
388,2023-01-17 03:00:00,Fashion,2,0.25,331,496.5
389,2023-01-17 04:00:00,Electronics,4,0.25,442,1326.0
390,2023-01-17 05:00:00,Electronics,5,0.25,576,2160.0
391,2023-01-17 06:00:00,Electronics,5,0.15,1922,8168.5
392,2023-01-17 07:00:00,Home,5,0.1,675,3037.5
393,2023-01-17 08:00:00,Grocery,1,0.24,554,421.04
394,2023-01-17 09:00:00,Sports,2,0.14,1355,2330.6
395,2023-01-17 10:00:00,Fashion,1,0.06,388,364.71999999999997
396,2023-01-17 11:00:00,Fashion,4,0.26,1336,3954.56
397,2023-01-17 12:00:00,Home,1,0.26,357,264.18
398,2023-01-17 13:00:00,Fashion,4,0.14,629,2163.7599999999998
399,2023-01-17 14:00:00,Electronics,4,0.02,786,3081.12
400,2023-01-17 15:00:00,Sports,3,0.12,1028,2713.92
401,2023-01-17 16:00:00,Beauty,5,0.24,328,1246.4
402,2023-01-17 17:00:00,Fashion,4,0.27,1349,3939.08
403,2023-01-17 18:00:00,Electronics,3,0.06,695,1959.8999999999999
404,2023-01-17 19:00:00,Beauty,5,0.02,1926,9437.4
405,2023-01-17 20:00:00,Sports,4,0.26,534,1580.6399999999999
406,2023-01-17 21:00:00,Beauty,4,0.12,981,3453.12
407,2023-01-17 22:00:00,Electronics,1,0.16,1120,940.8
408,2023-01-17 23:00:00,Grocery,1,0.29,1881,1335.51
409,2023-01-18 00:00:00,Grocery,5,0.02,501,2454.9
410,2023-01-18 01:00:00,Beauty,4,0.19,721,2336.04
411,2023-01-18 02:00:00,Home,2,0.02,1889,3702.44
412,2023-01-18 03:00:00,Beauty,1,0.11,187,166.43
413,2023-01-18 04:00:00,Fashion,5,0.24,683,2595.4
414,2023-01-18 05:00:00,Fashion,4,0.13,1665,5794.2
415,2023-01-18 06:00:00,Grocery,4,0.3,1807,5059.599999999999
416,2023-01-18 07:00:00,Home,2,0.17,408,677.28
